"filename", "language", "C++", "YAML", "Python", "comment", "blank", "total"
"/home/xizesse/ros_ws/src/avoa3d/config/nest_params.yaml", "YAML", 0, 3, 0, -1, 0, 2
"/home/xizesse/ros_ws/src/avoa3d/include/avoa3d/motion_params.hpp", "C++", -1, 0, 0, 0, 0, -1
"/home/xizesse/ros_ws/src/avoa3d/include/avoa3d/sample_generator.hpp", "C++", 17, 0, 0, 4, 0, 21
"/home/xizesse/ros_ws/src/avoa3d/launch/avoa.launch.py", "Python", 0, 0, -8, 0, 2, -6
"/home/xizesse/ros_ws/src/avoa3d/src/avoa3dnode.cpp", "C++", 29, 0, 0, 39, 17, 85
"/home/xizesse/ros_ws/src/avoa3d/src/obstacle_publisher.cpp", "C++", 12, 0, 0, 0, 2, 14
"/home/xizesse/ros_ws/src/avoa3d/src/rviz_marker.cpp", "C++", 23, 0, 0, 3, 7, 33
"/home/xizesse/ros_ws/src/avoa3d/src/sample_generator.cpp", "C++", 60, 0, 0, 4, 4, 68
"/home/xizesse/ros_ws/src/avoa3d/src/test_w_goal.cpp", "C++", 13, 0, 0, -1, 2, 14
"/home/xizesse/ros_ws/src/avoa3d/src/thruster_controller.cpp", "C++", 20, 0, 0, 0, 3, 23
"Total", "-", 173, 3, -8, 48, 37, 253
