Scenario: c5
timestamp,time_elapsed,agent_pos_x,agent_pos_y,agent_pos_z,agent_vel_x,agent_vel_y,agent_vel_z,obstacle_main_x,obstacle_main_y,obstacle_main_z,obstacle_0_x,obstacle_0_y,obstacle_0_z,obstacle_1_x,obstacle_1_y,obstacle_1_z,obstacle_2_x,obstacle_2_y,obstacle_2_z,obstacle_3_x,obstacle_3_y,obstacle_3_z,obstacle_4_x,obstacle_4_y,obstacle_4_z,obstacle_5_x,obstacle_5_y,obstacle_5_z,obstacle_6_x,obstacle_6_y,obstacle_6_z,obstacle_7_x,obstacle_7_y,obstacle_7_z,obstacle_8_x,obstacle_8_y,obstacle_8_z,obstacle_9_x,obstacle_9_y,obstacle_9_z
0.1,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.920000000000044,-1.0,7.0,0.0,-0.5,6.0,-10.920000000000044,1.0,3.0,-10.920000000000044,-1.0,7.0,0.0,3.0,-5.0,-10.920000000000044,0.0
0.2,0.1,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.8200000000001,-1.0,7.0,0.0,-0.5,6.0,-10.8200000000001,1.0,3.0,-10.8200000000001,-1.0,7.0,0.0,3.0,-5.0,-10.8200000000001,0.0
0.3,0.19999999999999998,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.720000000000155,-1.0,7.0,0.0,-0.5,6.0,-10.720000000000155,1.0,3.0,-10.720000000000155,-1.0,7.0,0.0,3.0,-5.0,-10.720000000000155,0.0
0.4,0.30000000000000004,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.62000000000021,-1.0,7.0,0.0,-0.5,6.0,-10.62000000000021,1.0,3.0,-10.62000000000021,-1.0,7.0,0.0,3.0,-5.0,-10.62000000000021,0.0
0.5,0.4,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.520000000000266,-1.0,7.0,0.0,-0.5,6.0,-10.520000000000266,1.0,3.0,-10.520000000000266,-1.0,7.0,0.0,3.0,-5.0,-10.520000000000266,0.0
0.6,0.5,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.420000000000321,-1.0,7.0,0.0,-0.5,6.0,-10.420000000000321,1.0,3.0,-10.420000000000321,-1.0,7.0,0.0,3.0,-5.0,-10.420000000000321,0.0
0.7,0.6,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.320000000000377,-1.0,7.0,0.0,-0.5,6.0,-10.320000000000377,1.0,3.0,-10.320000000000377,-1.0,7.0,0.0,3.0,-5.0,-10.320000000000377,0.0
0.8,0.7000000000000001,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.220000000000432,-1.0,7.0,0.0,-0.5,6.0,-10.220000000000432,1.0,3.0,-10.220000000000432,-1.0,7.0,0.0,3.0,-5.0,-10.220000000000432,0.0
0.9,0.8,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.120000000000488,-1.0,7.0,0.0,-0.5,6.0,-10.120000000000488,1.0,3.0,-10.120000000000488,-1.0,7.0,0.0,3.0,-5.0,-10.120000000000488,0.0
1.0,0.9,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,10.020000000000543,-1.0,7.0,0.0,-0.5,6.0,-10.020000000000543,1.0,3.0,-10.020000000000543,-1.0,7.0,0.0,3.0,-5.0,-10.020000000000543,0.0
1.1,1.0,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.920000000000599,-1.0,7.0,0.0,-0.5,6.0,-9.920000000000599,1.0,3.0,-9.920000000000599,-1.0,7.0,0.0,3.0,-5.0,-9.920000000000599,0.0
1.2,1.0999999999999999,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.820000000000654,-1.0,7.0,0.0,-0.5,6.0,-9.820000000000654,1.0,3.0,-9.820000000000654,-1.0,7.0,0.0,3.0,-5.0,-9.820000000000654,0.0
1.3,1.2,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.72000000000071,-1.0,7.0,0.0,-0.5,6.0,-9.72000000000071,1.0,3.0,-9.72000000000071,-1.0,7.0,0.0,3.0,-5.0,-9.72000000000071,0.0
1.4,1.2999999999999998,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.620000000000765,-1.0,7.0,0.0,-0.5,6.0,-9.620000000000765,1.0,3.0,-9.620000000000765,-1.0,7.0,0.0,3.0,-5.0,-9.620000000000765,0.0
1.5,1.4,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.52000000000082,-1.0,7.0,0.0,-0.5,6.0,-9.52000000000082,1.0,3.0,-9.52000000000082,-1.0,7.0,0.0,3.0,-5.0,-9.52000000000082,0.0
1.6,1.5,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.420000000000876,-1.0,7.0,0.0,-0.5,6.0,-9.420000000000876,1.0,3.0,-9.420000000000876,-1.0,7.0,0.0,3.0,-5.0,-9.420000000000876,0.0
1.7,1.5999999999999999,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.320000000000931,-1.0,7.0,0.0,-0.5,6.0,-9.320000000000931,1.0,3.0,-9.320000000000931,-1.0,7.0,0.0,3.0,-5.0,-9.320000000000931,0.0
1.8,1.7,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.220000000000987,-1.0,7.0,0.0,-0.5,6.0,-9.220000000000987,1.0,3.0,-9.220000000000987,-1.0,7.0,0.0,3.0,-5.0,-9.220000000000987,0.0
1.901,1.801,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.120000000001042,-1.0,7.0,0.0,-0.5,6.0,-9.120000000001042,1.0,3.0,-9.120000000001042,-1.0,7.0,0.0,3.0,-5.0,-9.120000000001042,0.0
2.0,1.9,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,9.020000000001097,-1.0,7.0,0.0,-0.5,6.0,-9.020000000001097,1.0,3.0,-9.020000000001097,-1.0,7.0,0.0,3.0,-5.0,-9.020000000001097,0.0
2.1,2.0,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4.0,4.0,0.0,3.0,-5.0,0.0,6.0,-4.0,0.0,1.0,8.920000000001153,-1.0,7.0,0.0,-0.5,6.0,-8.920000000001153,1.0,3.0,-8.920000000001153,-1.0,7.0,0.0,3.0,-5.0,-8.920000000001153,0.0
