Scenario: c4
timestamp,time_elapsed,agent_pos_x,agent_pos_y,agent_pos_z,agent_vel_x,agent_vel_y,agent_vel_z,obstacle_main_x,obstacle_main_y,obstacle_main_z,obstacle_0_x,obstacle_0_y,obstacle_0_z,obstacle_1_x,obstacle_1_y,obstacle_1_z,obstacle_2_x,obstacle_2_y,obstacle_2_z,obstacle_3_x,obstacle_3_y,obstacle_3_z,obstacle_4_x,obstacle_4_y,obstacle_4_z,obstacle_5_x,obstacle_5_y,obstacle_5_z,obstacle_6_x,obstacle_6_y,obstacle_6_z,obstacle_7_x,obstacle_7_y,obstacle_7_z,obstacle_8_x,obstacle_8_y,obstacle_8_z,obstacle_9_x,obstacle_9_y,obstacle_9_z
0.1,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2,0.1,-4.993400000000015,0.0,0.0,0.09999999999976694,0.0,0.0,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.3,0.19999999999999998,-4.976320754294032,0.0,0.007079245705999998,0.19970768599986144,0.0,0.09970768599999993,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.4,0.30000000000000004,-4.948849985694063,0.0,0.023186096560876928,0.2997076859996284,0.0,0.18152211606502558,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5,0.4,-4.911079217094049,0.0,0.04124691377274324,0.3997076860002835,0.0,0.18035039305686754,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.6,0.5,-4.863130003934068,0.0,0.059214776259582394,0.49943824299969464,0.0,0.1795106828212725,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.7,0.6,-4.8049098380370925,0.0,0.07709136466376064,0.5991532019997692,0.0,0.17861333489417594,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.8,0.7000000000000001,-4.736307038529059,0.0,0.09488999123565375,0.6990092860004182,0.0,0.1778925657272279,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.9,0.8,-4.6573061099290385,0.0,0.11263060246101997,0.7990092860001852,0.0,0.17735800147056224,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.0,0.9,-4.567845863825049,0.0,0.13033233640782083,0.898585509999883,0.0,0.17700314521790217,nan,nan,nan,nan,nan,nan,5.0,-5.0,-0.05,5.0,-3.3,-0.05,5.0,-1.6,-0.05,5.0,0.0,-0.05,5.0,1.6,-0.05,5.0,3.3,-0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
